Offensive Rank,G,W-L,Total Offense YPG,Season,Defensive Rank,Total Defense YPG,Rushing Rank,Rush YPG,Rushing Defensive Rank,Opp Rush YPG,Passing Rank,Pass YPG,Conference,Teams,Win %,MOV,ATS +/-
43,13,7-6,409.8,2024,82,380.6,130,88.1,64,147.8,5,321.8,Mountain West,San Jose St,53.9,0.8,1.5
120,12,3-9,323.9,2024,107,414.1,93,132.7,41,133.5,105,191.3,ACC,Stanford,25.0,-10.8,-2.1
7,13,10-3,467.6,2024,78,377.5,125,97.6,69,150.2,1,370.0,ACC,Syracuse,76.9,4.9,1.6
125,12,3-9,308.8,2024,112,417.8,126,92.8,131,226.1,82,216.0,The American,Temple,25.0,-15.8,-2.1
15,13,10-3,447.0,2024,6,293.2,9,225.8,10,103.9,77,221.2,SEC,Tennessee,76.9,19.6,3.8
21,16,13-3,437.5,2024,3,283.4,71,158.8,13,109.6,14,278.8,SEC,Texas,81.3,17.7,0.5
49,13,8-5,405.8,2024,63,367.3,26,195.5,42,135.2,87,210.3,SEC,Texas Aandm,61.5,8.2,-3.4
5,13,8-5,476.9,2024,53,357.6,15,208.2,55,143.0,22,268.7,Sun Belt,Texas St,61.5,12.0,-1.2
9,13,8-5,462.7,2024,126,460.2,61,166.0,73,152.1,9,296.7,Big 12,Texas Tech,61.5,2.8,-0.3
86,13,8-5,369.9,2024,54,358.6,108,115.7,70,150.7,40,254.2,MAC,Toledo,61.5,5.1,-1.1
87,12,4-8,369.2,2024,62,366.9,75,156.2,59,145.3,83,213.0,Sun Belt,Troy,33.3,-2.4,0.9
52,14,9-5,405.0,2024,24,323.5,25,195.6,60,145.8,89,209.4,The American,Tulane,64.3,14.4,6.1
62,12,3-9,389.7,2024,131,496.8,80,151.1,103,180.8,52,238.6,The American,Tulsa,25.0,-17.5,-12.5
58,12,3-9,392.5,2024,94,393.3,95,130.9,125,212.9,33,261.6,The American,Uab,25.0,-8.1,-1.8
14,12,4-8,447.8,2024,37,339.0,5,248.1,29,120.3,97,199.7,Big 12,Ucf,33.3,3.5,-3.2
118,12,5-7,328.8,2024,39,340.8,131,86.6,6,96.2,47,242.2,Big Ten,Ucla,41.7,-6.8,0.6
40,14,11-3,416.1,2024,49,350.9,7,243.5,23,115.0,121,172.6,Mountain West,Unlv,78.6,14.1,5.9
115,12,5-7,329.8,2024,29,329.7,98,130.4,35,129.4,98,199.4,Big 12,Utah,41.7,2.9,-2.1
6,12,4-8,467.7,2024,129,470.1,23,198.6,127,214.5,21,269.1,Mountain West,Utah St,33.3,-5.8,0.6
12,13,7-6,451.2,2024,71,375.2,54,167.7,11,109.3,11,283.5,The American,Utsa,53.9,3.1,-1.1
123,13,7-6,318.4,2024,74,376.5,86,139.8,52,140.8,117,178.6,SEC,Vanderbilt,53.9,3.9,7.9
93,12,5-7,360.9,2024,101,408.3,94,131.9,58,145.3,64,229.0,ACC,Virginia,41.7,-6.1,-2.9
84,12,4-8,370.7,2024,117,435.0,97,130.6,80,157.2,49,240.1,ACC,Wake Forest,33.3,-6.8,-2.7
61,13,6-7,390.5,2024,28,328.4,100,128.8,87,161.8,32,261.7,Big Ten,Washington,46.2,-0.4,-3.5
99,12,5-7,350.3,2024,41,342.7,78,153.7,91,165.0,102,196.7,Big Ten,Wisconsin,41.7,-0.5,-1.3
119,12,3-9,327.3,2024,103,410.6,88,137.8,111,191.7,107,189.4,Mountain West,Wyoming,25.0,-9.0,-1.5
