Offensive Rank,G,W-L,Total Offense YPG,Season,Defensive Rank,Total Defense YPG,Rushing Rank,Rush YPG,Rushing Defensive Rank,Opp Rush YPG,Passing Rank,Pass YPG,Team,Conference
60,12,5-7,390.6,2024,98,399.9,29,189.2,107,185.8,94,201.4,Oregon St. ,FBS Independent
26,16,13-3,430.2,2024,7,294.8,17,202.3,9,101.9,66,227.9,Penn St. ,Big Ten
44,13,7-6,408.7,2024,81,378.2,85,141.8,19,112.8,24,266.9,Pittsburgh ,ACC
127,12,1-11,299.3,2024,123,452.7,110,115.3,119,200.0,113,183.9,Purdue ,Big Ten
97,12,4-8,352.9,2024,35,334.4,113,113.9,84,160.6,51,239.0,Rice ,The American
71,13,7-6,382.7,2024,95,393.8,45,175.3,89,162.8,92,207.4,Rutgers ,Big Ten
27,14,11-3,429.5,2024,26,326.0,55,167.6,7,100.2,31,261.9,SMU ,ACC
102,13,10-3,347.9,2024,22,321.5,41,179.8,57,144.5,122,168.2,Sam Houston ,CUSA
109,12,3-9,334.6,2024,114,421.3,99,128.9,121,207.3,93,205.7,San Diego St. ,Mountain West
43,13,7-6,409.8,2024,82,380.6,130,88.1,64,147.8,5,321.8,San Jose St. ,Mountain West
18,13,7-6,442.2,2024,89,391.0,22,198.7,54,142.2,45,243.5,South Alabama ,Sun Belt
45,13,9-4,407.8,2024,16,316.6,35,184.4,18,112.2,75,223.4,South Carolina ,SEC
46,13,7-6,407.7,2024,118,436.9,39,180.2,81,158.2,67,227.5,South Fla. ,The American
23,13,7-6,437.2,2024,77,377.1,82,145.3,53,141.2,10,291.9,Southern California ,Big Ten
131,12,1-11,283.5,2024,121,449.2,118,108.6,132,232.7,120,174.9,Southern Miss. ,Sun Belt
120,12,3-9,323.9,2024,107,414.1,93,132.7,41,133.5,105,191.3,Stanford ,ACC
7,13,10-3,467.6,2024,78,377.5,125,97.6,69,150.2,1,370.0,Syracuse ,ACC
31,13,9-4,426.8,2024,45,345.6,112,113.9,83,160.5,8,312.9,TCU ,Big 12
125,12,3-9,308.8,2024,112,417.8,126,92.8,131,226.1,82,216.0,Temple ,The American
15,13,10-3,447.0,2024,6,293.2,9,225.8,10,103.9,77,221.2,Tennessee ,SEC
21,16,13-3,437.5,2024,3,283.4,71,158.8,13,109.6,14,278.8,Texas ,SEC
49,13,8-5,405.8,2024,63,367.3,26,195.5,42,135.2,87,210.3,Texas A&M ,SEC
5,13,8-5,476.9,2024,53,357.6,15,208.2,55,143.0,22,268.7,Texas St. ,Sun Belt
9,13,8-5,462.7,2024,126,460.2,61,166.0,73,152.1,9,296.7,Texas Tech ,Big 12
86,13,8-5,369.9,2024,54,358.6,108,115.7,70,150.7,40,254.2,Toledo ,MAC
87,12,4-8,369.2,2024,62,366.9,75,156.2,59,145.3,83,213.0,Troy ,Sun Belt
52,14,9-5,405.0,2024,24,323.5,25,195.6,60,145.8,89,209.4,Tulane ,The American
62,12,3-9,389.7,2024,131,496.8,80,151.1,103,180.8,52,238.6,Tulsa ,The American
58,12,3-9,392.5,2024,94,393.3,95,130.9,125,212.9,33,261.6,UAB ,The American
14,12,4-8,447.8,2024,37,339.0,5,248.1,29,120.3,97,199.7,UCF ,Big 12
118,12,5-7,328.8,2024,39,340.8,131,86.6,6,96.2,47,242.2,UCLA ,Big Ten
56,13,9-4,397.6,2024,46,347.3,21,199.2,39,132.3,100,198.4,UConn ,FBS Independent
126,12,5-7,304.4,2024,84,384.0,51,169.7,120,200.1,128,134.8,ULM ,Sun Belt
40,14,11-3,416.1,2024,49,350.9,7,243.5,23,115.0,121,172.6,UNLV ,Mountain West
122,12,3-9,320.8,2024,99,402.5,104,120.8,102,179.3,96,200.0,UTEP ,CUSA
12,13,7-6,451.2,2024,71,375.2,54,167.7,11,109.3,11,283.5,UTSA ,The American
115,12,5-7,329.8,2024,29,329.7,98,130.4,35,129.4,98,199.4,Utah ,Big 12
6,12,4-8,467.7,2024,129,470.1,23,198.6,127,214.5,21,269.1,Utah St. ,Mountain West
123,13,7-6,318.4,2024,74,376.5,86,139.8,52,140.8,117,178.6,Vanderbilt ,SEC
93,12,5-7,360.9,2024,101,408.3,94,131.9,58,145.3,64,229.0,Virginia ,ACC
88,13,6-7,367.8,2024,57,363.0,43,178.4,63,147.1,108,189.4,Virginia Tech ,ACC
84,12,4-8,370.7,2024,117,435.0,97,130.6,80,157.2,49,240.1,Wake Forest ,ACC
61,13,6-7,390.5,2024,28,328.4,100,128.8,87,161.8,32,261.7,Washington ,Big Ten
17,13,8-5,442.8,2024,119,442.6,56,166.8,96,172.1,16,276.1,Washington St. ,FBS Independent
53,13,6-7,404.0,2024,110,415.2,27,193.7,56,144.4,87,210.3,West Virginia ,Big 12
82,14,8-6,373.5,2024,97,397.3,117,108.9,130,221.2,25,264.6,Western Ky. ,CUSA
85,13,6-7,370.0,2024,109,415.1,37,183.0,112,192.5,109,187.0,Western Mich. ,MAC
99,12,5-7,350.3,2024,41,342.7,78,153.7,91,165.0,102,196.7,Wisconsin ,Big Ten
119,12,3-9,327.3,2024,103,410.6,88,137.8,111,191.7,107,189.4,Wyoming ,Mountain West
