Team,W-L,Win %,MOV,ATS +/-,Season
Mississippi,8-5,61.5,7.9,-2.4,2022
Missouri,6-7,46.2,-0.3,-1.2,2022
Missouri,11-2,84.6,11.7,6.6,2023
Missouri,6-7,46.2,-4.8,-4.6,2021
Missouri,10-3,76.9,8.5,-1.1,2024
N Carolina,9-5,64.3,3.6,-1.9,2022
N Carolina,8-5,61.5,7.2,-2.2,2023
N Carolina,6-7,46.2,3.2,-7.2,2021
N Carolina,6-7,46.2,2.8,-3.5,2024
N Illinois,8-5,61.5,6.0,0.3,2024
N Illinois,9-5,64.3,-1.5,3.5,2021
N Illinois,3-9,25.0,-5.5,-6.7,2022
N Illinois,7-6,53.9,3.9,1.9,2023
N Mex State,10-5,66.7,4.7,5.5,2023
N Mex State,7-6,53.9,1.5,8.2,2022
N Mex State,2-10,16.7,-17.8,2.4,2021
N Mex State,3-9,25.0,-14.7,-1.8,2024
NC State,9-3,75.0,13.4,6.1,2021
NC State,8-5,61.5,5.2,-4.1,2022
NC State,9-4,69.2,5.5,2.8,2023
NC State,6-7,46.2,-1.6,-4.5,2024
Navy,10-3,76.9,9.2,5.2,2024
Navy,4-8,33.3,-2.4,3.8,2022
Navy,5-7,41.7,-4.8,-4.5,2023
Navy,4-8,33.3,-8.2,2.4,2021
Nebraska,7-6,53.9,4.1,-0.6,2024
Nebraska,3-9,25.0,5.3,2.5,2021
Nebraska,4-8,33.3,-5.0,-3.0,2022
Nebraska,5-7,41.7,-0.3,-0.8,2023
Nevada,3-10,23.1,-5.7,1.5,2024
Nevada,2-10,16.7,-12.1,-2.4,2022
Nevada,2-10,16.7,-16.1,-2.1,2023
Nevada,8-5,61.5,9.2,2.2,2021
New Mexico,3-9,25.0,-16.3,-6.8,2021
New Mexico,5-7,41.7,-4.5,0.7,2024
New Mexico,4-8,33.3,-7.8,1.5,2023
New Mexico,2-10,16.7,-12.9,-2.8,2022
North Texas,6-7,46.2,0.0,5.4,2021
North Texas,5-7,41.7,-2.6,0.3,2023
North Texas,7-7,50.0,2.1,1.6,2022
North Texas,6-7,46.2,-0.6,-0.4,2024
Northwestern,1-11,8.3,-14.6,-3.9,2022
Northwestern,3-9,25.0,-12.4,-8.1,2021
Northwestern,4-8,33.3,-8.5,-1.8,2024
Northwestern,8-5,61.5,-0.5,6.5,2023
Notre Dame,10-3,76.9,23.2,7.6,2023
Notre Dame,9-4,69.2,8.8,1.5,2022
Notre Dame,11-2,84.6,15.5,7.8,2021
Notre Dame,14-2,87.5,20.6,9.3,2024
Ohio,10-3,76.9,8.5,-1.5,2023
Ohio,10-4,71.4,3.5,6.1,2022
Ohio,11-3,78.6,11.1,7.6,2024
Ohio,3-9,25.0,-7.8,-5.8,2021
Ohio St,11-2,84.6,22.9,4.3,2021
Ohio St,11-2,84.6,19.3,1.0,2023
Ohio St,14-2,87.5,22.8,3.0,2024
Ohio St,11-2,84.6,23.2,-2.2,2022
Oklahoma,6-7,46.2,2.8,-5.5,2022
Oklahoma,6-7,46.2,2.5,-2.2,2024
Oklahoma,11-2,84.6,13.3,-3.5,2021
Oklahoma,10-3,76.9,18.2,4.0,2023
Oklahoma St,12-2,85.7,13.0,5.4,2021
Oklahoma St,3-9,25.0,-8.4,-7.3,2024
Oklahoma St,10-4,71.4,1.0,-1.2,2023
Oklahoma St,7-6,53.9,1.7,-3.7,2022
