Offensive Rank,Team,G,Offense TDs,Total Offense YPG,Season,Rushing Rank,Rushing TDs,Rush YPG,Passing Rank,Int,Passing TDs,Pass YPG,Defensive Rank,Opp TDs,Total Defense YPG,Rushing Defensive Rank,Opp Rush TDs,Opp Rush YPG,Passing Defensive Rank,Opp Pass TDs,Opp Pass YPG,TM Rank,Fumbles Recovered,Fumbles Lost,Turnover Margin,PPG Rank,Penalties,Penalties Per Game,Penalty YPG Rank,Penalty YPG,TOP Rank,Avg Time of Possession,ATP Rank,Conference,Wins,Losses
41,Louisiana ,14,48,415.1,2024,57,26,166.4,41,9,22,248.7,47,41,348.4,77,20,154.2,33,19,194.2,16,5,2,10,69,82,5.86,51,48.79,32,31:18,,Sun Belt,10,4
42,Alabama ,13,58,410.2,2024,47,41,173.8,56,11,17,236.4,21,25,320.1,48,10,137.8,19,13,182.2,31,11,10,7,113,95,7.31,122,69.08,91,29:06,,SEC,9,4
43,San Jose St. ,13,44,409.8,2024,130,13,88.1,5,16,31,321.8,82,44,380.6,64,25,147.8,91,16,232.8,65,7,13,-1,104,91,7.00,102,60.31,130,26:21,,Mountain West,7,6
44,Pittsburgh ,13,45,408.7,2024,85,16,141.8,24,16,29,266.9,81,45,378.2,19,18,112.8,122,22,265.4,73,5,4,-2,107,92,7.08,107,61.38,129,26:25,,ACC,7,6
45,South Carolina ,13,47,407.8,2024,35,26,184.4,75,7,21,223.4,16,28,316.6,18,18,112.2,44,10,204.4,47,10,14,3,98,87,6.69,94,58.00,35,31:10,,SEC,9,4
46,South Fla. ,13,50,407.7,2024,39,34,180.2,67,10,16,227.5,118,49,436.9,81,25,158.2,127,23,278.8,31,13,8,7,125,105,8.08,124,70.92,133,25:08,,The American,7,6
47,James Madison ,13,48,407.6,2024,28,20,191.5,81,4,28,216.1,23,33,321.8,26,13,115.4,45,16,206.5,1,12,5,20,104,91,7.00,86,54.46,23,31:48,,Sun Belt,9,4
48,North Carolina ,13,44,406.7,2024,38,26,182.3,72,9,18,224.4,72,43,375.8,66,21,149.5,80,19,226.3,73,6,8,-2,117,98,7.54,113,64.00,78,29:39,,ACC,6,7
49,Texas A&M ,13,46,405.8,2024,26,27,195.5,87,11,19,210.3,63,34,367.3,42,14,135.2,90,20,232.2,40,4,4,5,117,98,7.54,117,66.31,28,31:43,,SEC,8,5
50,Ohio ,14,50,405.6,2024,12,35,213.1,104,12,15,192.4,9,31,303.1,4,14,90.6,50,16,212.6,71,9,10,-2,53,78,5.57,35,45.50,9,32:42,,MAC,11,3
51,Georgia ,14,53,405.4,2024,102,24,124.4,12,13,29,281.0,30,29,329.9,36,14,129.6,38,14,200.2,64,11,7,-1,64,80,5.71,80,53.64,69,30:05,,SEC,11,3
52,Tulane ,14,57,405.0,2024,25,32,195.6,89,9,25,209.4,24,34,323.5,60,20,145.8,15,13,177.7,33,8,6,7,76,86,6.14,60,50.07,12,32:13,,The American,9,5
53,West Virginia ,13,47,404.0,2024,27,27,193.7,87,14,20,210.3,110,56,415.2,56,28,144.4,125,26,270.8,111,6,5,-8,10,57,4.38,6,34.31,17,32:00,,Big 12,6,7
54,Old Dominion ,12,44,402.7,2024,14,27,209.8,103,9,17,192.9,102,42,410.4,97,18,172.6,101,23,237.8,86,5,11,-3,80,74,6.17,83,54.17,112,28:00,,Sun Belt,5,7
55,Notre Dame ,16,69,399.1,2024,19,45,200.9,101,8,24,198.1,11,30,307.4,49,16,138.1,4,14,169.4,5,14,7,18,67,93,5.81,65,50.88,65,30:10,,FBS Independent,14,2
56,UConn ,13,48,397.6,2024,21,23,199.2,100,9,25,198.4,46,35,347.3,39,16,132.3,60,16,215.0,65,5,7,-1,35,69,5.31,77,52.69,71,29:57,,FBS Independent,9,4
57,Fla. Atlantic ,12,38,397.6,2024,30,24,189.0,91,11,14,208.6,111,44,416.7,105,18,183.5,92,25,233.2,61,7,7,0,94,79,6.58,70,51.58,54,30:23,,The American,3,9
58,UAB ,12,33,392.5,2024,95,9,130.9,33,16,24,261.6,94,52,393.3,125,31,212.9,17,18,180.3,128,5,9,-12,128,98,8.17,129,73.83,83,29:30,,The American,3,9
59,BYU ,13,41,392.3,2024,68,20,161.0,60,14,21,231.3,13,31,308.8,33,18,126.3,20,13,182.5,24,7,7,8,23,66,5.08,22,43.15,31,31:20,,Big 12,11,2
60,Oregon St. ,12,36,390.6,2024,29,29,189.2,94,11,7,201.4,98,44,399.9,107,26,185.8,55,15,214.1,92,7,5,-4,26,61,5.08,36,45.67,5,33:09,,FBS Independent,5,7
61,Washington ,13,36,390.5,2024,100,14,128.8,32,8,22,261.7,28,38,328.4,87,20,161.8,2,16,166.5,52,6,4,2,68,76,5.85,72,51.77,60,30:17,,Big Ten,6,7
62,Tulsa ,12,34,389.7,2024,80,11,151.1,52,12,23,238.6,131,70,496.8,103,27,180.8,133,38,316.0,105,7,10,-6,70,71,5.92,67,51.00,77,29:44,,The American,3,9
63,Missouri ,13,40,389.5,2024,64,26,164.5,71,5,14,225.1,17,32,317.5,45,15,136.2,18,14,181.3,24,10,4,8,57,73,5.62,63,50.62,7,32:54,,SEC,10,3
64,Georgia St. ,12,34,389.0,2024,92,13,133.3,38,13,21,255.8,113,52,418.7,122,28,210.3,48,22,208.3,78,8,6,-2,26,61,5.08,54,49.08,70,29:58,,Sun Belt,3,9
65,Colorado St. ,13,36,387.6,2024,53,20,168.2,78,10,16,219.5,96,43,394.5,82,21,159.8,95,20,234.7,55,11,10,1,91,84,6.46,69,51.46,33,31:16,,Mountain West,8,5
66,Florida ,13,44,386.9,2024,67,26,161.2,69,14,18,225.7,76,37,376.9,66,17,149.5,83,18,227.5,35,11,5,6,72,77,5.92,82,54.00,104,28:34,,SEC,8,5
67,Maryland ,12,36,386.1,2024,115,15,110.4,17,14,21,275.7,80,44,378.1,46,19,136.8,105,22,241.3,86,8,6,-3,88,77,6.42,95,58.58,68,30:06,,Big Ten,4,8
68,Arkansas St. ,13,37,384.4,2024,74,18,156.9,67,10,19,227.5,128,55,461.8,124,32,211.7,112,23,250.1,52,6,8,2,57,73,5.62,71,51.69,93,29:03,,Sun Belt,8,5
69,Colorado ,13,52,383.2,2024,133,15,65.2,6,10,37,318.0,50,36,351.9,71,17,151.4,40,16,200.5,8,12,5,12,121,100,7.69,120,67.85,114,27:51,,Big 12,9,4
70,Marshall ,13,48,382.8,2024,18,21,201.7,115,4,27,181.1,79,37,378.1,101,21,179.0,37,15,199.1,13,7,6,10,42,70,5.38,27,43.54,109,28:19,,Sun Belt,10,3
71,Rutgers ,13,46,382.7,2024,45,28,175.3,92,7,18,207.4,95,44,393.8,89,26,162.8,87,18,231.1,44,5,2,4,5,52,4.00,5,34.15,25,31:45,,Big Ten,7,6
72,NIU ,13,38,382.2,2024,16,22,203.8,118,8,16,178.5,4,27,284.6,17,10,112.2,5,15,172.5,81,5,9,-3,9,55,4.23,20,42.77,3,33:21,,MAC,8,5
73,Army West Point ,14,58,381.1,2024,1,48,300.5,133,4,10,80.6,8,28,297.9,16,12,112.0,25,16,185.9,12,2,5,11,3,45,3.21,4,31.50,1,34:39,,The American,12,2
74,California ,13,33,380.2,2024,103,17,121.5,37,7,16,258.6,36,37,337.5,14,19,109.8,84,17,227.6,11,5,4,11,116,96,7.38,99,59.69,52,30:30,,ACC,6,7
75,Eastern Mich. ,12,34,377.8,2024,84,17,141.8,57,10,17,236.0,83,43,383.8,90,19,162.8,70,22,220.9,78,10,7,-2,88,77,6.42,108,62.00,37,31:07,,MAC,5,7
76,NC State ,13,42,377.8,2024,83,21,145.2,58,13,21,232.6,88,47,390.8,79,25,157.0,93,19,233.8,81,10,10,-3,23,66,5.08,44,47.77,24,31:45,,ACC,6,7
77,Bowling Green ,13,40,377.4,2024,89,20,136.8,48,6,20,240.6,32,33,331.3,61,14,145.9,24,17,185.4,47,2,5,3,35,69,5.31,38,45.77,21,31:52,,MAC,7,6
78,Mississippi St. ,12,38,377.2,2024,87,19,137.9,50,8,19,239.3,125,49,456.4,129,24,216.9,104,23,239.5,105,5,10,-6,101,82,6.83,101,60.25,131,25:41,,SEC,2,10
79,Nevada ,13,40,376.1,2024,66,21,163.5,84,8,19,212.6,90,46,391.5,113,31,192.8,36,13,198.6,73,2,7,-2,119,99,7.62,126,71.92,43,30:52,,Mountain West,3,10
80,Oklahoma St. ,12,40,374.0,2024,114,19,111.8,30,17,21,262.3,132,56,500.6,128,28,215.0,131,26,285.6,114,3,6,-8,22,60,5.00,26,43.42,123,27:03,,Big 12,3,9
81,Coastal Carolina ,13,41,373.7,2024,49,21,172.5,95,11,20,201.2,106,49,413.8,108,22,186.1,85,24,227.8,40,11,6,5,103,90,6.92,112,63.77,100,28:49,,Sun Belt,6,7
82,Western Ky. ,14,42,373.5,2024,117,14,108.9,25,12,28,264.6,97,45,397.3,130,26,221.2,9,18,176.1,91,10,12,-4,7,58,4.14,17,41.29,115,27:50,,CUSA,8,6
83,Navy ,13,53,371.3,2024,6,38,247.5,131,6,15,123.8,65,37,368.9,78,17,156.1,51,19,212.8,13,7,8,10,23,66,5.08,30,45.00,67,30:06,,The American,10,3
84,Wake Forest ,12,35,370.7,2024,97,18,130.6,49,13,17,240.1,117,47,435.0,80,20,157.2,126,23,277.8,92,6,8,-4,26,61,5.08,39,45.92,99,28:51,,ACC,4,8
85,Western Mich. ,13,46,370.0,2024,37,28,183.0,109,9,18,187.0,109,52,415.1,112,28,192.5,72,20,222.6,24,13,4,8,8,54,4.15,13,39.15,80,29:34,,MAC,6,7
