Team,Win %,MOV,ATS +/-,Season,Wins,Losses
Kent St,0.0,-30.2,-9.4,2024,0,12
Kent St,41.7,-0.6,1.3,2022,5,7
Kent St,50.0,-3.3,-2.6,2021,7,7
Kentucky,53.9,1.2,-2.2,2022,7,6
Kentucky,33.3,-1.5,-4.5,2024,4,8
Kentucky,76.9,10.6,2.8,2021,10,3
Kentucky,53.9,3.2,-1.7,2023,7,6
LA Tech,25.0,-7.5,-5.6,2023,3,9
LA Tech,25.0,-6.0,-5.0,2021,3,9
LA Tech,38.5,-0.1,3.3,2024,5,8
LA Tech,25.0,-8.9,-0.9,2022,3,9
LSU,71.4,12.0,5.4,2022,10,4
LSU,46.2,-0.1,-1.7,2021,6,7
LSU,69.2,6.2,-2.1,2024,9,4
LSU,76.9,17.5,1.9,2023,10,3
Liberty,61.5,12.1,-2.2,2021,8,5
Liberty,61.5,2.9,-3.2,2022,8,5
Liberty,92.9,14.0,3.9,2023,13,1
Liberty,66.7,5.3,-8.8,2024,8,4
Louisiana,46.2,3.5,0.3,2023,6,7
Louisiana,46.2,3.3,2.6,2022,6,7
Louisiana,92.9,12.6,2.9,2021,13,1
Louisiana,71.4,6.8,-0.9,2024,10,4
Louisville,69.2,12.4,4.0,2024,9,4
Louisville,46.2,4.3,2.2,2021,6,7
Louisville,71.4,9.4,0.4,2023,10,4
Louisville,61.5,7.8,5.8,2022,8,5
Marshall,46.2,-5.9,-7.0,2023,6,7
Marshall,69.2,8.5,0.7,2022,9,4
Marshall,53.9,9.2,-0.8,2021,7,6
Marshall,76.9,8.8,8.4,2024,10,3
Maryland,33.3,-6.8,-5.6,2024,4,8
Maryland,53.9,-1.4,-1.7,2021,7,6
Maryland,61.5,7.2,0.7,2023,8,5
Maryland,61.5,5.0,1.6,2022,8,5
Memphis,76.9,10.6,2.7,2023,10,3
Memphis,53.9,9.3,4.3,2022,7,6
Memphis,84.6,11.8,0.8,2024,11,2
Memphis,50.0,0.8,-2.7,2021,6,6
Miami,58.3,5.7,0.3,2021,7,5
Miami,76.9,18.6,1.2,2024,10,3
Miami,53.9,8.7,-0.4,2023,7,6
Miami,41.7,-3.2,-10.7,2022,5,7
Miami (OH),46.2,-2.4,-1.4,2022,6,7
Miami (OH),78.6,9.7,6.1,2023,11,3
Miami (OH),64.3,5.3,2.5,2024,9,5
Miami (OH),53.9,5.8,2.7,2021,7,6
Michigan,61.5,2.1,2.4,2024,8,5
Michigan,100.0,25.5,4.3,2023,15,0
Michigan,92.9,24.4,2.9,2022,13,1
Michigan,85.7,18.4,8.8,2021,12,2
Michigan St,33.3,-12.4,-5.3,2023,4,8
Michigan St,41.7,-6.8,-6.2,2024,5,7
Michigan St,84.6,6.5,4.3,2021,11,2
Michigan St,41.7,-3.0,-0.8,2022,5,7
Middle Tenn,25.0,-16.2,-7.3,2024,3,9
Middle Tenn,33.3,-3.8,-2.3,2023,4,8
Middle Tenn,53.9,4.2,7.8,2021,7,6
Middle Tenn,61.5,1.2,3.4,2022,8,5
Minnesota,46.2,-5.8,-5.9,2023,6,7
Minnesota,69.2,14.4,1.2,2022,9,4
Minnesota,69.2,8.2,4.0,2021,9,4
Minnesota,61.5,9.2,6.4,2024,8,5
Miss State,41.7,-4.8,-5.0,2023,5,7
Miss State,53.9,3.2,-1.7,2021,7,6
Miss State,69.2,8.5,1.3,2022,9,4
Miss State,16.7,-8.3,1.4,2024,2,10
Mississippi,61.5,7.9,-2.4,2022,8,5
Mississippi,76.9,24.2,4.5,2024,10,3
Mississippi,76.9,9.0,1.4,2021,10,3
Mississippi,84.6,12.5,2.5,2023,11,2
Missouri,46.2,-0.3,-1.2,2022,6,7
Missouri,84.6,11.7,6.6,2023,11,2
Missouri,76.9,8.5,-1.1,2024,10,3
Missouri,46.2,-4.8,-4.6,2021,6,7
N Carolina,61.5,7.2,-2.2,2023,8,5
N Carolina,46.2,3.2,-7.2,2021,6,7
N Carolina,46.2,2.8,-3.5,2024,6,7
N Carolina,64.3,3.6,-1.9,2022,9,5
N Illinois,53.9,3.9,1.9,2023,7,6
N Illinois,61.5,6.0,0.3,2024,8,5
N Illinois,64.3,-1.5,3.5,2021,9,5
N Illinois,25.0,-5.5,-6.7,2022,3,9
N Mex State,25.0,-14.7,-1.8,2024,3,9
N Mex State,53.9,1.5,8.2,2022,7,6
N Mex State,66.7,4.7,5.5,2023,10,5
N Mex State,16.7,-17.8,2.4,2021,2,10
NC State,46.2,-1.6,-4.5,2024,6,7
NC State,61.5,5.2,-4.1,2022,8,5
NC State,75.0,13.4,6.1,2021,9,3
NC State,69.2,5.5,2.8,2023,9,4
Navy,41.7,-4.8,-4.5,2023,5,7
Navy,33.3,-8.2,2.4,2021,4,8
Navy,76.9,9.2,5.2,2024,10,3
Navy,33.3,-2.4,3.8,2022,4,8
Nebraska,25.0,5.3,2.5,2021,3,9
Nebraska,53.9,4.1,-0.6,2024,7,6
